Loading file decode
0 0x800007d0: lui    sp, 0x80020000
344 0x80000074: lw     a1, 0(a1)
345 0x80000078: beq    a3, a1, 0x80000090
346 0x8000007c: addi   a4, a4, 4
347 0x80000080: addi   a0, zero, 32
348 0x80000084: bltu   a4, a0, 0x80000070
349 0x80000070: add    a1, sp, a4
350 0x80000074: lw     a1, 0(a1)
351 0x80000078: beq    a3, a1, 0x80000090
352 0x8000007c: addi   a4, a4, 4
353 0x80000080: addi   a0, zero, 32
354 0x80000084: bltu   a4, a0, 0x80000070
355 0x80000070: add    a1, sp, a4
356 0x80000074: lw     a1, 0(a1)
357 0x80000078: beq    a3, a1, 0x80000090
358 0x8000007c: addi   a4, a4, 4
359 0x80000080: addi   a0, zero, 32
360 0x80000084: bltu   a4, a0, 0x80000070
361 0x80000070: add    a1, sp, a4
362 0x80000074: lw     a1, 0(a1)
363 0x80000078: beq    a3, a1, 0x80000090
364 0x8000007c: addi   a4, a4, 4
365 0x80000080: addi   a0, zero, 32
366 0x80000084: bltu   a4, a0, 0x80000070
367 0x80000070: add    a1, sp, a4
368 0x80000074: lw     a1, 0(a1)
369 0x80000078: beq    a3, a1, 0x80000090
370 0x8000007c: addi   a4, a4, 4
371 0x80000080: addi   a0, zero, 32
372 0x80000084: bltu   a4, a0, 0x80000070
373 0x80000070: add    a1, sp, a4
374 0x80000074: lw     a1, 0(a1)
375 0x80000078: beq    a3, a1, 0x80000090
376 0x8000007c: addi   a4, a4, 4
377 0x80000080: addi   a0, zero, 32
378 0x80000084: bltu   a4, a0, 0x80000070
379 0x80000070: add    a1, sp, a4
380 0x80000074: lw     a1, 0(a1)
381 0x80000078: beq    a3, a1, 0x80000090
382 0x8000007c: addi   a4, a4, 4
383 0x80000080: addi   a0, zero, 32
384 0x80000084: bltu   a4, a0, 0x80000070
385 0x80000070: add    a1, sp, a4
386 0x80000074: lw     a1, 0(a1)
387 0x80000078: beq    a3, a1, 0x80000090
388 0x8000007c: addi   a4, a4, 4
389 0x80000080: addi   a0, zero, 32
390 0x80000084: bltu   a4, a0, 0x80000070
391 0x80000088: sw     a3, 0(a2)
392 0x8000008c: addi   a2, a2, 4
393 0x80000090: addi   a3, a3, 1
394 0x80000094: addi   a0, zero, 16
395 0x80000098: bltu   a3, a0, 0x8000006c
396 0x8000006c: addi   a4, zero, 0
397 0x80000070: add    a1, sp, a4
398 0x80000074: lw     a1, 0(a1)
399 0x80000078: beq    a3, a1, 0x80000090
400 0x8000007c: addi   a4, a4, 4
401 0x80000080: addi   a0, zero, 32
402 0x80000084: bltu   a4, a0, 0x80000070
403 0x80000070: add    a1, sp, a4
404 0x80000074: lw     a1, 0(a1)
405 0x80000078: beq    a3, a1, 0x80000090
406 0x8000007c: addi   a4, a4, 4
